id,name_,image_url,is_closed,url,review_count,category,rating,price,display_phone,latitude,longitude,address1,address2,address3,city,zip_code,country,state_
DNKucP0SZ7ea-nOZgetFhg,Great Divide Brewing Company,https://s3-media3.fl.yelpcdn.com/bphoto/KAccMuhlXGS1PqkdUNpGJA/o.jpg,FALSE,https://www.yelp.com/biz/great-divide-brewing-company-denver?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,1008,Brewery,4.5,$,(303) 296-9460,39.7539,-104.98846,2201 Arapahoe St,,,Denver,80205,US,CO
u0lEXYd_cdf2_Zg99rSM9w,Vine Street Pub & Brewery,https://s3-media1.fl.yelpcdn.com/bphoto/kRMvxwWCDewv0tat2syeug/o.jpg,FALSE,https://www.yelp.com/biz/vine-street-pub-and-brewery-denver?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,920,Brewery,4,$$,(303) 388-2337,39.7434,-104.96201,1700 Vine St,,,Denver,80206,US,CO
3asUEG-iok2bunLBp1O_mw,Lowdown Brewery + Kitchen,https://s3-media2.fl.yelpcdn.com/bphoto/4BVCLbTZXqdo_rDVwc5Ezg/o.jpg,FALSE,https://www.yelp.com/biz/lowdown-brewery-kitchen-denver?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,450,Brewery,4.5,$$,(720) 524-8065,39.72938919,-104.9857483,800 Lincoln St,,,Denver,80203,US,CO
_jUBigRXts5f3b7ayKLI6Q,The Post Brewing Co. Denver,https://s3-media4.fl.yelpcdn.com/bphoto/8GJ2yRJPJhe_BgNB-fPunQ/o.jpg,FALSE,https://www.yelp.com/biz/the-post-brewing-co-denver-denver?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,614,Brewery,4.5,$$,(720) 466-5699,39.67639,-104.98716,2200 South Broadway,,,Denver,80210,US,CO
ofPa6i98oFCiq0zoWj1cvw,Black Shirt Brewing,https://s3-media1.fl.yelpcdn.com/bphoto/wiXtOXrM3gKUkaYcll3oNg/o.jpg,FALSE,https://www.yelp.com/biz/black-shirt-brewing-denver-3?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,325,Brewery,4.5,$,(303) 993-2799,39.76976729,-104.9729352,3719 Walnut St,,,Denver,80205,US,CO
PwhZsjVk3z8muJrALTUrMA,Denver Beer Co,https://s3-media1.fl.yelpcdn.com/bphoto/PXSR3BNOuHMvlbdhkMeR5A/o.jpg,FALSE,https://www.yelp.com/biz/denver-beer-co-denver-3?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,607,Brewery,4,$,(303) 433-2739,39.75832,-105.00722,1695 Platte St,,,Denver,80202,US,CO
IqC4v53GgZce6TbLqyFa7Q,Bull & Bush,https://s3-media3.fl.yelpcdn.com/bphoto/PuehlNL_wpHR3K3EOCu5gw/o.jpg,FALSE,https://www.yelp.com/biz/bull-and-bush-denver-3?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,780,Brewery,4,$$,(303) 759-0333,39.70325089,-104.9325256,4700 Cherry Creek Dr S,,,Denver,80246,US,CO
HV3M2p6ksP1xbptoQ7PlBg,10 Barrel Brewing - Denver,https://s3-media2.fl.yelpcdn.com/bphoto/zoZw2fFOuRsoKIYrm9voAQ/o.jpg,FALSE,https://www.yelp.com/biz/10-barrel-brewing-denver-denver?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,349,Brewery,4.5,$$,(720) 573-8992,39.75939,-104.9856446,2620 Walnut St,,,Denver,80205,US,CO
fsP5zLIRLf0gcuZpI94eYw,Wynkoop Brewing,https://s3-media3.fl.yelpcdn.com/bphoto/DzMMGuxS3bJASkK8jYgtEA/o.jpg,FALSE,https://www.yelp.com/biz/wynkoop-brewing-denver-2?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,1217,Brewery,3.5,$$,(303) 297-2700,39.753455,-104.998468,1634 18th St,,,Denver,80202,US,CO
Mds_fqDsWYEF0gvW_PhBXA,Epic Brewing Company,https://s3-media2.fl.yelpcdn.com/bphoto/DZrVviM57deR56IV2keZ7A/o.jpg,FALSE,https://www.yelp.com/biz/epic-brewing-company-denver?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,420,Brewery,4,$,(720) 539-7410,39.763424,-104.981324,3001 Walnut St,,,Denver,80205,US,CO
e78QfZ3Fnj_z8RHtvn2-Uw,Blue Moon Brewing Company,https://s3-media2.fl.yelpcdn.com/bphoto/8745FqlN853lANNFHRtfhA/o.jpg,FALSE,https://www.yelp.com/biz/blue-moon-brewing-company-denver?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,466,Brewery,4,$$,(303) 728-2337,39.77372684,-104.9772733,3750 Chestnut Pl,,,Denver,80216,US,CO
tEa5ldZPH3XN7BIVu7yC8A,Briar Common Brewery + Eatery,https://s3-media4.fl.yelpcdn.com/bphoto/NJKITxriwNN50eFtMDPmgg/o.jpg,FALSE,https://www.yelp.com/biz/briar-common-brewery-eatery-denver-3?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,322,Brewery,4.5,$$,(720) 512-3894,39.75104877,-105.0202911,2298 Clay St,,,Denver,80211,US,CO
WBom6za95-BCfVtgK2Rp4w,Station 26 Brewing,https://s3-media3.fl.yelpcdn.com/bphoto/o8hlEFYUec9WF5UWv8INGw/o.jpg,FALSE,https://www.yelp.com/biz/station-26-brewing-denver?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,333,Brewery,4.5,$$,(303) 333-1825,39.7696,-104.90588,7045 E 38th Ave,,,Denver,80207,US,CO
S4pZgrBayim4YjzeoqiRGg,Ratio Beerworks,https://s3-media3.fl.yelpcdn.com/bphoto/NSwjKVtCv3KE_xOvemkMqA/o.jpg,FALSE,https://www.yelp.com/biz/ratio-beerworks-denver?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,263,Brewery,4.5,$,(303) 997-8288,39.761478,-104.981048,2920 Larimer St,,,Denver,80205,US,CO
LR5Hbb0kn_pInuTMsMws5A,Mockery Brewing,https://s3-media1.fl.yelpcdn.com/bphoto/pRtnibbi0jUC1CutuOuRBQ/o.jpg,FALSE,https://www.yelp.com/biz/mockery-brewing-denver?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,189,Brewery,4.5,$,(303) 953-2058,39.771191,-104.979773,3501 Delgany St,,,Denver,80216,US,CO
YFYggTuGAnT2QGUjll7puA,Jagged Mountain Craft Brewery,https://s3-media4.fl.yelpcdn.com/bphoto/0vGaITHHsoxWhUOEIbl6Mg/o.jpg,FALSE,https://www.yelp.com/biz/jagged-mountain-craft-brewery-denver-2?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,300,Brewery,4,$,(720) 689-2337,39.75214948,-104.9916236,1139 20th St,,,Denver,80202,US,CO
rA-GxOa4N8j61eGc-lrsEA,Crooked Stave Friends & Family,https://s3-media3.fl.yelpcdn.com/bphoto/QHq7NwkhWfGReeEwNSTvTw/o.jpg,FALSE,https://www.yelp.com/biz/crooked-stave-friends-and-family-denver?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,281,Brewery,4,$$,(720) 508-3292,39.7806719,-105.0046978,1441 W 46th Ave,Unit  19,,Denver,80211,US,CO
E5BKNu4gcqNADTFkQc7vMQ,Copper Kettle Brewing Company,https://s3-media2.fl.yelpcdn.com/bphoto/FV-HXAfbwKa7Kmae7Bk9Pg/o.jpg,FALSE,https://www.yelp.com/biz/copper-kettle-brewing-company-denver?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,231,Brewery,4.5,$,(720) 443-2522,39.69247,-104.89048,1338 S Valentia St,Unit 100,,Denver,80247,US,CO
R0mEfSdg2UHASQFB2xJAXQ,Spangalang Brewery,https://s3-media4.fl.yelpcdn.com/bphoto/z5uWVmQSp39t0CO-gW_DHg/o.jpg,FALSE,https://www.yelp.com/biz/spangalang-brewery-denver-2?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,144,Brewery,4.5,$,(303) 297-1276,39.75507,-104.97711,2736 Welton Ave,,,Denver,80205,US,CO
uxFCD0lG2_YKO6naSrf7SA,Renegade Brewing Company,https://s3-media4.fl.yelpcdn.com/bphoto/eF7zqXwMn2pCvJaO52DFtw/o.jpg,FALSE,https://www.yelp.com/biz/renegade-brewing-company-denver?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,286,Brewery,4,$,(720) 401-4089,39.73061712,-104.9993256,925 West 9th Ave,,,Denver,80204,US,CO
e-iHfrp40Rvn4bP5JsgM4g,Woods Boss Brewing Company,https://s3-media3.fl.yelpcdn.com/bphoto/zYl3pnZ8wHe-2RImObdf8g/o.jpg,FALSE,https://www.yelp.com/biz/woods-boss-brewing-company-denver?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,131,Brewery,4.5,$$,(720) 642-7177,39.75094,-104.98454,2210 California St,,,Denver,80205,US,CO
-izMm16SLxE9mlbkxXagSQ,Rock Bottom Restaurant & Brewery,https://s3-media1.fl.yelpcdn.com/bphoto/ExUzUakmnwU7TbiTQ_4h_Q/o.jpg,FALSE,https://www.yelp.com/biz/rock-bottom-restaurant-and-brewery-denver?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,707,Brewery,3.5,$$,(303) 534-7616,39.747516,-104.994804,1001 16th St,#A-100,,Denver,80265,US,CO
