,id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,latitude,longitude,address1,address2,address3,city,zip_code,country,state,display_address
0,DNKucP0SZ7ea-nOZgetFhg,great-divide-brewing-company-denver,Great Divide Brewing Company,https://s3-media3.fl.yelpcdn.com/bphoto/KAccMuhlXGS1PqkdUNpGJA/o.jpg,False,https://www.yelp.com/biz/great-divide-brewing-company-denver?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,1008,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'breweries', 'title': 'Breweries'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]",4.5,[],$,+13032969460,(303) 296-9460,2569.675003778412,39.7539,-104.98846,2201 Arapahoe St,,,Denver,80205,US,CO,"['2201 Arapahoe St', 'Denver, CO 80205']"
1,u0lEXYd_cdf2_Zg99rSM9w,vine-street-pub-and-brewery-denver,Vine Street Pub & Brewery,https://s3-media1.fl.yelpcdn.com/bphoto/kRMvxwWCDewv0tat2syeug/o.jpg,False,https://www.yelp.com/biz/vine-street-pub-and-brewery-denver?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,920,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'breweries', 'title': 'Breweries'}]",4.0,[],$$,+13033882337,(303) 388-2337,1130.8636404547678,39.7434,-104.96201,1700 Vine St,,,Denver,80206,US,CO,"['1700 Vine St', 'Denver, CO 80206']"
2,3asUEG-iok2bunLBp1O_mw,lowdown-brewery-kitchen-denver,Lowdown Brewery + Kitchen,https://s3-media2.fl.yelpcdn.com/bphoto/4BVCLbTZXqdo_rDVwc5Ezg/o.jpg,False,https://www.yelp.com/biz/lowdown-brewery-kitchen-denver?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,450,"[{'alias': 'breweries', 'title': 'Breweries'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'pizza', 'title': 'Pizza'}]",4.5,"['delivery', 'pickup']",$$,+17205248065,(720) 524-8065,1491.6134415581314,39.7293891906738,-104.985748291016,800 Lincoln St,,,Denver,80203,US,CO,"['800 Lincoln St', 'Denver, CO 80203']"
3,_jUBigRXts5f3b7ayKLI6Q,the-post-brewing-co-denver-denver,The Post Brewing Co. Denver,https://s3-media4.fl.yelpcdn.com/bphoto/8GJ2yRJPJhe_BgNB-fPunQ/o.jpg,False,https://www.yelp.com/biz/the-post-brewing-co-denver-denver?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,614,"[{'alias': 'breweries', 'title': 'Breweries'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.5,"['delivery', 'pickup']",$$,+17204665699,(720) 466-5699,6723.127009907778,39.67639,-104.98716,2200 South Broadway,,,Denver,80210,US,CO,"['2200 South Broadway', 'Denver, CO 80210']"
4,ofPa6i98oFCiq0zoWj1cvw,black-shirt-brewing-denver-3,Black Shirt Brewing,https://s3-media1.fl.yelpcdn.com/bphoto/wiXtOXrM3gKUkaYcll3oNg/o.jpg,False,https://www.yelp.com/biz/black-shirt-brewing-denver-3?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,325,"[{'alias': 'breweries', 'title': 'Breweries'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'musicvenues', 'title': 'Music Venues'}]",4.5,['delivery'],$,+13039932799,(303) 993-2799,3814.589261976626,39.7697672895761,-104.972935177909,3719 Walnut St,,,Denver,80205,US,CO,"['3719 Walnut St', 'Denver, CO 80205']"
5,PwhZsjVk3z8muJrALTUrMA,denver-beer-co-denver-3,Denver Beer Co,https://s3-media1.fl.yelpcdn.com/bphoto/PXSR3BNOuHMvlbdhkMeR5A/o.jpg,False,https://www.yelp.com/biz/denver-beer-co-denver-3?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,607,"[{'alias': 'breweries', 'title': 'Breweries'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",4.0,[],$,+13034332739,(303) 433-2739,4054.4282841847585,39.75832,-105.00722,1695 Platte St,,,Denver,80202,US,CO,"['1695 Platte St', 'Denver, CO 80202']"
6,IqC4v53GgZce6TbLqyFa7Q,bull-and-bush-denver-3,Bull & Bush,https://s3-media3.fl.yelpcdn.com/bphoto/PuehlNL_wpHR3K3EOCu5gw/o.jpg,False,https://www.yelp.com/biz/bull-and-bush-denver-3?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,780,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'breweries', 'title': 'Breweries'}, {'alias': 'pubs', 'title': 'Pubs'}]",4.0,['delivery'],$$,+13037590333,(303) 759-0333,4842.918528621031,39.7032508850098,-104.932525634766,4700 Cherry Creek Dr S,,,Denver,80246,US,CO,"['4700 Cherry Creek Dr S', 'Denver, CO 80246']"
7,HV3M2p6ksP1xbptoQ7PlBg,10-barrel-brewing-denver-denver,10 Barrel Brewing - Denver,https://s3-media2.fl.yelpcdn.com/bphoto/zoZw2fFOuRsoKIYrm9voAQ/o.jpg,False,https://www.yelp.com/biz/10-barrel-brewing-denver-denver?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,349,"[{'alias': 'brewpubs', 'title': 'Brewpubs'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",4.5,"['delivery', 'pickup']",$$,+17205738992,(720) 573-8992,2962.380230454709,39.75939,-104.9856446,2620 Walnut St,,,Denver,80205,US,CO,"['2620 Walnut St', 'Denver, CO 80205']"
8,fsP5zLIRLf0gcuZpI94eYw,wynkoop-brewing-denver-2,Wynkoop Brewing,https://s3-media3.fl.yelpcdn.com/bphoto/DzMMGuxS3bJASkK8jYgtEA/o.jpg,False,https://www.yelp.com/biz/wynkoop-brewing-denver-2?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,1217,"[{'alias': 'brewpubs', 'title': 'Brewpubs'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",3.5,['delivery'],$$,+13032972700,(303) 297-2700,3130.136676246296,39.753455,-104.998468,1634 18th St,,,Denver,80202,US,CO,"['1634 18th St', 'Denver, CO 80202']"
9,Mds_fqDsWYEF0gvW_PhBXA,epic-brewing-company-denver,Epic Brewing Company,https://s3-media2.fl.yelpcdn.com/bphoto/DZrVviM57deR56IV2keZ7A/o.jpg,False,https://www.yelp.com/biz/epic-brewing-company-denver?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,420,"[{'alias': 'breweries', 'title': 'Breweries'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]",4.0,[],$,+17205397410,(720) 539-7410,3243.6704495711815,39.763424,-104.981324,3001 Walnut St,,,Denver,80205,US,CO,"['3001 Walnut St', 'Denver, CO 80205']"
